date,symbol,pre_close,open,high,low,close,volume,turnover_lacs,no_of_trades,deliv_volume,deliv_%
2/4/2022,COALINDIA,161.3,161.3,162.8,160,160.4,6402287,10347.03,60377,2652200,41.43
2/7/2022,COALINDIA,160.4,160.65,163,159.65,160.95,5871041,9483.54,43333,1843734,31.39
2/8/2022,COALINDIA,160.95,161.85,162.5,158.35,159.95,14158927,22640.77,58727,5984886,42.27
2/9/2022,COALINDIA,159.95,160.5,169.35,160,168.6,35079516,58631.03,177536,13292058,37.88
2/11/2022,COALINDIA,168.05,167.95,169.3,165.2,166.5,10097767,16864.48,68547,3750885,37.15
2/10/2022,COALINDIA,168.6,169,170.3,165,168.05,17724098,29750.84,104692,5393651,30.43
2/3/2022,COALINDIA,163.85,163.1,164.15,160.6,161.3,4654885,7547.28,35032,1958876,42.08
1/1/2020,COALINDIA,211.35,211.35,212.6,208.4,211.95,6447592,13585.57,48911,1294489,20.08
1/2/2020,COALINDIA,211.95,212.5,212.8,208.3,211.1,5958343,12552.16,45875,1763059,29.59
1/3/2020,COALINDIA,211.1,210,212.6,207.7,211.85,6452638,13580.96,43299,2147545,33.28
1/6/2020,COALINDIA,211.85,209.95,209.95,203.45,205.7,6853058,14080.31,54913,2105530,30.72
1/7/2020,COALINDIA,205.7,206.5,208.2,204.35,205.7,5243225,10827.65,44407,2106932,40.18
1/8/2020,COALINDIA,205.7,203,204.55,198.2,200.2,7295998,14709.23,45845,2689056,36.86
1/9/2020,COALINDIA,200.2,203.25,203.7,197.35,198,10321169,20521.03,60490,5171986,50.11
1/10/2020,COALINDIA,198,199.15,206.55,198.95,205.3,13533598,27664.54,79389,3173348,23.45
1/13/2020,COALINDIA,205.3,205.3,212,205,211.55,9863555,20731.04,55913,2354932,23.88
1/14/2020,COALINDIA,211.55,211.15,213.5,209.75,212.95,5417581,11468.23,31792,2263579,41.78
1/15/2020,COALINDIA,212.95,212.6,214.6,211.3,212.45,4863227,10361.04,31945,2327746,47.86
1/16/2020,COALINDIA,212.45,212.45,212.7,207.1,210.25,6937929,14589.85,48580,3256575,46.94
1/17/2020,COALINDIA,210.25,210,210.55,206.1,207.9,5985342,12454.95,41319,2780997,46.46
1/20/2020,COALINDIA,207.9,208,209.8,200.5,201.15,8110607,16648.09,45643,3609084,44.5
1/21/2020,COALINDIA,201.15,201.15,205.25,201.15,202.15,6347967,12927.69,43002,2130418,33.56
1/22/2020,COALINDIA,202.15,199.1,199.4,190.95,191.9,19096395,37043.88,105972,6580122,34.46
1/23/2020,COALINDIA,191.9,192.05,195.2,189.85,190.75,16369722,31441.31,71162,7414229,45.29
1/24/2020,COALINDIA,190.75,193,196.3,192.15,193.95,10626281,20634.66,63929,3410074,32.09
1/27/2020,COALINDIA,193.95,193.95,195,192,193.35,7195361,13933.78,33802,2333097,32.43
1/28/2020,COALINDIA,193.35,193.9,194.25,188.4,189.15,10274562,19528.9,55958,4139911,40.29
1/29/2020,COALINDIA,189.15,191,193,188,191.05,10602818,20307.53,60651,4098350,38.65
1/30/2020,COALINDIA,191.05,191.4,192.35,187.5,187.95,10859103,20611.23,55217,4171042,38.41
1/31/2020,COALINDIA,187.95,188.8,189.45,180,181.7,35281395,64706.59,146426,16786708,47.58
2/3/2020,COALINDIA,173.5,174.9,179.45,172.15,178.65,15284598,27094.46,92895,4862901,31.82
2/4/2020,COALINDIA,178.65,180.75,183,179.75,182.5,10043759,18241.01,61745,3871446,38.55
2/5/2020,COALINDIA,182.5,184,184,178.5,179.25,9468632,17110.12,55574,3206565,33.87
2/6/2020,COALINDIA,179.25,180.2,181.6,178.25,179.95,6917941,12435.53,54462,3277282,47.37
2/7/2020,COALINDIA,179.95,180.3,186.05,178.1,185.05,13470302,24461.96,71587,5587617,41.48
2/10/2020,COALINDIA,185.05,184.9,185,177.65,178.85,19665611,35369.56,96003,11152489,56.71
2/11/2020,COALINDIA,178.85,180,181.5,176.25,179.35,16397703,29300.1,82010,7271302,44.34
2/12/2020,COALINDIA,179.35,181,183.4,178.2,180.3,14669421,26456.07,83056,5596157,38.15
2/13/2020,COALINDIA,180.3,180.3,180.95,175.85,177.8,11781999,20927.99,65495,4769531,40.48
2/14/2020,COALINDIA,177.8,178,178.9,174.2,174.75,15392705,27055.46,93623,7014339,45.57
2/17/2020,COALINDIA,174.75,174.75,175.2,166.8,167.85,15997350,27057.25,97423,5844355,36.53
2/18/2020,COALINDIA,167.85,168.1,173.95,165,171.85,27643844,46594.67,91485,14752106,53.36
2/19/2020,COALINDIA,171.85,176.35,178.55,174.25,177.75,21092109,37250.1,113986,6129694,29.06
2/20/2020,COALINDIA,177.75,177.75,180.25,175.2,179.35,16776977,29798.95,88047,8983105,53.54
2/24/2020,COALINDIA,179.35,178.75,178.9,173.3,174.85,9952676,17455.45,60533,3972252,39.91
2/25/2020,COALINDIA,174.85,176.1,178.7,174.2,175.1,13534936,23923.22,59232,5523298,40.81
2/26/2020,COALINDIA,175.1,174.2,177.75,172.65,173.8,10925243,19150.11,77432,4142657,37.92
2/27/2020,COALINDIA,173.8,173.75,174.55,169.6,174.1,11500515,19813.53,60532,4533167,39.42
2/28/2020,COALINDIA,174.1,171.55,171.8,166.75,168.4,14694382,24859.12,105493,6484291,44.13
3/2/2020,COALINDIA,168.4,172.65,175,168.3,169.35,11962711,20642.01,63565,4782713,39.98
3/3/2020,COALINDIA,169.35,171.35,179.65,170.9,178.2,17015816,29748.05,73868,8702955,51.15
3/4/2020,COALINDIA,178.2,178.25,179.8,174.1,178.1,9858330,17485.7,78436,2622862,26.61
3/5/2020,COALINDIA,178.1,180,180.2,172.2,177.15,12349902,21732.63,61821,2902240,23.5
3/6/2020,COALINDIA,177.15,166.7,173,166.5,168.75,10629291,18076.43,71770,4162213,39.16
3/9/2020,COALINDIA,168.75,165.8,166.7,156.95,157.95,23967961,38796.75,101385,13590537,56.7
3/11/2020,COALINDIA,157.95,158.1,169.9,157.05,168,28399809,46612.36,148710,9434271,33.22
3/12/2020,COALINDIA,168,161,163,150.1,154.55,33250978,51655.47,206701,15512094,46.65
3/13/2020,COALINDIA,154.55,146.25,161.55,123.65,154.1,43328031,66152.89,175752,19682164,45.43
3/16/2020,COALINDIA,154.1,150.95,151.35,143.1,143.9,23548327,34658.31,92209,10320947,43.83
3/17/2020,COALINDIA,143.9,145.2,155.4,142.3,145.9,18990185,28503.83,108984,6909482,36.38
3/18/2020,COALINDIA,145.9,151.6,151.85,143,145.05,18744151,27413.04,99549,8195345,43.72
3/19/2020,COALINDIA,145.05,128,133.5,122,123.55,28555217,36742.47,184801,11761737,41.19
3/20/2020,COALINDIA,123.55,124.5,135.8,122.65,132.8,24023065,31102.64,104020,9537271,39.7
3/23/2020,COALINDIA,132.8,122.5,134.85,120.05,127.85,17885210,23083.99,94097,10549335,58.98
3/24/2020,COALINDIA,127.85,129.25,135,125.45,127.85,9991429,13015.74,62450,3193288,31.96
3/25/2020,COALINDIA,127.85,126,129.25,123.7,124.5,8344561,10459.75,59668,3647405,43.71
3/26/2020,COALINDIA,124.5,126,127,119.2,123.25,28364155,34914.55,153911,18236068,64.29
3/27/2020,COALINDIA,123.25,125.9,132.95,125,131.7,18334750,23694.61,116521,7032558,38.36
3/30/2020,COALINDIA,131.7,127.55,134.75,127.2,133.15,12357416,16312.53,91151,4423231,35.79
3/31/2020,COALINDIA,133.15,135.1,142.35,134.25,140.05,14997627,20857.69,89569,5404833,36.04
4/1/2020,COALINDIA,140.05,138.75,141.25,137.05,139.45,8833033,12317.51,62281,3778342,42.78
4/3/2020,COALINDIA,139.45,138.6,139.9,131.8,137.75,10937172,14891.28,105935,3450581,31.55
4/7/2020,COALINDIA,137.75,140.3,142.4,137.15,140.15,8205546,11510.84,54857,3024110,36.85
4/8/2020,COALINDIA,140.15,140,143.4,137,137.35,7070296,9890.09,55896,2149083,30.4
4/9/2020,COALINDIA,137.35,139.2,141.45,138,140.8,5078557,7119.57,36981,1298635,25.57
4/15/2020,COALINDIA,145.9,147.4,151.6,146,146.85,10487978,15617.75,85581,3419783,32.61
4/16/2020,COALINDIA,146.85,144.6,150.5,144.4,147.4,9736874,14459.38,65846,3875381,39.8
4/17/2020,COALINDIA,147.4,151.5,152.45,148.3,148.75,7094930,10627.43,49937,2138681,30.14
4/20/2020,COALINDIA,148.75,149.9,149.9,143,144.2,7139690,10422.84,61760,2011348,28.17
4/21/2020,COALINDIA,144.2,141,141.6,137.8,139,6501383,9059.78,50407,2743784,42.2
4/22/2020,COALINDIA,139,138.2,141.3,135,140.7,5604353,7754.13,54723,1495981,26.69
4/23/2020,COALINDIA,140.7,140.8,144.75,140.1,140.9,7553387,10750.62,57402,3277991,43.4
4/24/2020,COALINDIA,140.9,140.6,143.8,135.8,137,11701225,16394.72,74521,5377305,45.96
4/27/2020,COALINDIA,137,139,139.7,137.5,138.1,4238903,5866.29,33953,1522577,35.92
4/28/2020,COALINDIA,138.1,138.6,139.55,134.45,135.4,7064485,9644.21,58250,3794832,53.72
4/29/2020,COALINDIA,135.4,135.5,140.85,135.35,139.85,7399371,10276.91,57807,2503769,33.84
4/30/2020,COALINDIA,139.85,141.5,149.45,141.35,148.5,13146077,19184.94,103971,6570356,49.98
5/4/2020,COALINDIA,148.5,144.7,144.7,140.35,142.3,8356131,11918.45,58591,3884787,46.49
5/5/2020,COALINDIA,142.3,143.9,147.25,137.35,138,11879416,16884.3,73467,4531433,38.15
5/6/2020,COALINDIA,138,139.35,139.35,133.15,133.75,10427899,14061.27,77869,3236233,31.03
5/7/2020,COALINDIA,133.75,130,133,130,130.8,10860354,14287.7,75808,4052134,37.31
5/8/2020,COALINDIA,130.8,132.85,133.2,128.55,129,7097561,9249.75,56783,2846229,40.1
5/11/2020,COALINDIA,129,130.15,131.05,128.05,128.45,6657861,8609.15,59311,2504185,37.61
5/12/2020,COALINDIA,128.45,128.2,129.05,125.3,126.85,8128532,10303.95,67381,3907157,48.07
5/13/2020,COALINDIA,126.85,132.5,132.5,128.5,130.6,11135899,14553.73,87482,5376356,48.28
5/14/2020,COALINDIA,130.6,129.85,131.45,128.05,128.65,5663229,7320.66,48845,1979804,34.96
5/15/2020,COALINDIA,128.65,129.7,130.85,127.75,129.6,6296866,8158.55,48958,1808288,28.72
5/18/2020,COALINDIA,129.6,127,127,121.05,121.7,24334222,29986.44,167369,7997000,32.86
5/19/2020,COALINDIA,121.7,123.1,124.15,121.8,123.6,9537937,11753.01,70856,3779678,39.63
5/20/2020,COALINDIA,123.6,123,125.15,121.85,123.25,8087994,9989.2,83321,3704760,45.81
5/21/2020,COALINDIA,123.25,123.9,126.25,122.8,124.5,6187533,7714.46,42468,1940389,31.36
5/22/2020,COALINDIA,124.5,124,126.05,121.9,125.2,7129073,8859.34,50794,2289302,32.11
5/26/2020,COALINDIA,125.2,125.85,128,125,127.25,6183000,7832.32,43527,2509769,40.59
5/27/2020,COALINDIA,127.25,127.25,131.35,126,130.8,6084266,7847.4,53996,2012812,33.08
5/28/2020,COALINDIA,130.8,130.85,134.3,129.3,133.9,7883181,10490.26,52289,3126845,39.66
5/29/2020,COALINDIA,133.9,133.5,142.45,132.25,141.3,16208002,22470.44,93501,6655822,41.07
6/1/2020,COALINDIA,141.3,142.1,149.75,141.55,148.55,21205031,30929.46,99115,9675369,45.63
6/2/2020,COALINDIA,148.55,149.15,149.15,143,143.4,16680118,24043.8,125175,4900534,29.38
6/3/2020,COALINDIA,143.4,145,145.1,141.1,141.7,11561360,16508.89,81683,4514936,39.05
6/4/2020,COALINDIA,141.7,141,142.6,139.35,140.25,6295322,8848.69,47936,1678756,26.67
6/5/2020,COALINDIA,140.25,141,145.75,140.5,144.85,11872638,17061.29,76530,4836338,40.74
6/8/2020,COALINDIA,144.85,148,148.95,144.75,146.7,11258936,16553.55,74920,3785371,33.62
6/9/2020,COALINDIA,146.7,147.95,147.95,143.65,144.3,6957097,10091.71,50309,1863336,26.78
6/10/2020,COALINDIA,144.3,144,144.75,140.2,140.7,8915113,12651.75,58961,3517808,39.46
6/11/2020,COALINDIA,140.7,140.85,142.9,137.5,137.7,9259409,12983.85,66927,2652215,28.64
6/12/2020,COALINDIA,137.7,133.1,135.55,132.7,134.65,8425506,11315.06,71487,2962171,35.16
6/15/2020,COALINDIA,134.65,134.7,135,130.5,132.1,8217883,10880.94,54843,2785520,33.9
6/16/2020,COALINDIA,132.1,134.5,135,129.55,131.15,7130557,9402.62,46869,2729722,38.28
6/17/2020,COALINDIA,131.15,131.15,133.9,129.1,129.45,9072521,11897.71,57866,3698291,40.76
6/18/2020,COALINDIA,129.45,129,139.7,128.15,137.6,34587382,47032.31,173947,5392585,15.59
6/19/2020,COALINDIA,137.6,140,140,135.2,137.25,17468342,23917.91,88714,5328926,30.51
6/22/2020,COALINDIA,137.25,137.25,143.95,137.1,143.65,19716497,27947.96,95804,7891260,40.02
6/23/2020,COALINDIA,143.65,144.95,146.75,143.2,143.85,10955603,15871.5,63587,2976863,27.17
6/24/2020,COALINDIA,143.85,145.7,146.45,140.75,141.55,10639900,15195.18,62216,2991754,28.12
6/25/2020,COALINDIA,141.55,140.35,143.65,138.35,140.4,33546613,47153.63,107189,15656332,46.67
6/26/2020,COALINDIA,140.4,140.9,143,139.6,142.1,8096021,11498.24,46554,2163875,26.73
6/29/2020,COALINDIA,142.1,140.55,140.85,134.15,134.85,14576506,19815.2,97559,4822561,33.08
6/30/2020,COALINDIA,134.85,136.35,137.15,132.35,132.85,9576074,12896.49,61798,3279784,34.25
7/1/2020,COALINDIA,132.85,132.85,134.65,131.4,133.85,8413691,11233.42,47189,2143545,25.48
7/2/2020,COALINDIA,133.85,134.05,135,132.8,133.6,7746561,10356.65,47067,2369671,30.59
7/3/2020,COALINDIA,133.6,134.4,135.9,133.05,135.25,9093435,12218.7,62413,2972361,32.69
7/6/2020,COALINDIA,135.25,136.3,137.5,135.25,135.85,9491956,12924.96,48520,3101204,32.67
7/7/2020,COALINDIA,135.85,136.5,136.7,132.6,132.85,9905750,13237.54,94169,4459127,45.02
7/8/2020,COALINDIA,132.85,132.95,134.45,131.6,132.85,12308840,16360.33,70137,4798469,38.98
7/9/2020,COALINDIA,132.85,133.5,135.3,129.1,130.4,19348275,25438.23,113948,8447928,43.66
7/10/2020,COALINDIA,130.4,129.5,132.25,128.2,131.2,17079042,22317.09,94861,5097240,29.84
7/13/2020,COALINDIA,131.2,131.8,132.45,130.3,130.5,7748616,10149.45,58621,3158897,40.77
7/14/2020,COALINDIA,130.5,130.4,130.4,128,128.25,7234663,9328.61,56207,2750599,38.02
7/15/2020,COALINDIA,128.25,128.85,129.45,127.55,128,7037830,9044.5,54870,3089399,43.9
7/16/2020,COALINDIA,128,127.75,128,124.6,126.15,11785672,14814.79,113925,3788917,32.15
7/17/2020,COALINDIA,126.15,126.6,132.05,126.6,130.6,11331580,14652.15,62603,3999890,35.3
7/20/2020,COALINDIA,130.6,133.5,134.6,131.7,133,16602099,22152.44,136914,4722851,28.45
